name,image,class,subclass,tags,durability,strength,range,arrows,defense,defense_upgrade_lvl1,defense_upgrade_lvl2,defense_upgrade_lvl3,defense_upgrade_lvl4,bonus,description,selling_price,bonus_set,upgrade_1,upgrade_2,upgrade_3,upgrade_4,armor_upgrade,where_to_find,notes
Flameblade,BotW_Flameblade_Icon.png?version=378880baed6c492c14e7d5c2ada13c49 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/hBQNLYJ5aZX1ezUIdZvg1w/XaIISbP7k_Sa9x_x4cZfqiYnWO7r09nfFphWB5msJtyjUu6z-H81xRTd1Ow6dVT90XDeyMjq-6chM3B9J6o7fEoUuFUBkg2LPfaWk4n04w94G6UfV2OpfQxo-gzSKMKu/e37TTRn601fa52N0pBAGW7LMEYl0pVhfIlnz3lEJ3Lg),Weapon,Light,,36,24,,,,,,,,,This magical sword was forged in the lava of Death Mountain. It leaves white-hot flames in its wake when the blade glows red.,,,,,,,,,
Forest Dweller's Sword,BotW_Forest_Dweller%27s_Sword_Icon.png?version=88623c7e6379130b616c5fa90614ee43 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/mPTS4eB2PWD3MzygRtCxCA/NFZzKOxyo1BIaZoNc9Mv-XAc4KcHQq3OiebVSNRDZTddM0epKMYw7o_lTBSLtr_4-p31DayY4DswtPAmacMeSszaLZsUEjEtrRu_Luu0xTbbXzX6g5f0NpnFIKfZxnjcxPLfnQmk3k6eD8m7_jdaug/31edt7z_rEJyjJ78lc5t9niCjfvNOQyGbQWwmUq4YbA),Weapon,Light,,27,22,,,,,,,,,"Koroks made this sword for Hylians. It's made of wood, so it isn't the best choice for head-on attacks. Its original intent was likely clearing vines to forge paths through forests.",,,,,,,,,
Frostblade,BotW_Frostblade_Icon.png?version=af048125d87020f92ecbec3f7e3d9001 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/nFeuZlpbQfL70fxIMIt_Xg/GFKJT_7meHywGELYa3vAvs5C1lVsyzFvBz7CkAbgY1E1EmoFZWa88-HYl_QSO6EyLEDLpwFLvMwtabbVA1QFiEFuZhVa0bAZgc_oVj3pBUDnZsgm-W1Icu9FaSqZUqW0/0tajSAGsauer9sIbaeJlU_ghpHeFpvkUXp4opGaFVZA),Weapon,Light,,30,20,,,,,,,,,"A magical sword forged in the frigid mountains of the Hebra region. When the blade glows blue, enemies struck by it will become frozen.",,,,,,,,,
Gerudo Scimitar,BotW_Gerudo_Scimitar.png?version=df8d9bb8601c11092a8745449ec98151 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/Fp5Iz3IkuiOwOEPB8-DTuw/g5m1PaN_IkNVw39HIHcHBxUoZ0oSWfuqbMK5qkFPcXxoMQDxoMZCaSIHOa1RuvSruwpQIP5iQdBD6LW5_usQrZB9LENDJUZS60gBaYKwGaHmFxjT_FdnYFNVdIBETFwV/AU62NhPF1tlxFPiHTfirEzFSeEadEjHRv9TG7Smu-hk),Weapon,Light,,23,16,,,,,,,,,"This common sword is often carried by Gerudo women for self-defense. Its short, curved blade is easily recognized.",,,,,,,,,
Goddess Sword,BotW_Goddess_Sword_Icon.png?version=e1ef7f990d4114f63e1030114dac1fa2 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/ZFoizpASL1snQ91qNKrqkQ/j7yrovlFsAOgG9OnpqE304H5-cjALyBujwJeLPgwnNlDTwPxN9D6FcCdFri2AcHqSPlcl3RxZey4b6j3LTNFivBchmaCTMzd0YSfoBB_QyZBWZbvSH6mHSh1ht1x4n02/UM0jyTJhDp8mc9VH82gJSslB1D9BIBs4Eze2jb_RK9c),Weapon,Light,,45,28,,,,,,,,,"A sword said to have once belonged to a hero from the sky. Its blade houses the fire of the Goddess. When wielded, a strange yet heavenly breeze kicks up around you.",,,,,,,,,
Guardian Sword,BotW_Guardian_Sword_Icon.png?version=cf6741a64950949ca0d6e503f7d955d2 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/jTXg7joGZFVW2G8eqoo5hg/U6O4VjyzuSNsQNryrb0O56iDH13a1GJVNnakG-QCB1TiStdjpeAm87w_ELX8sNzkSsVtAeVhcM6rsTVYR1EuH3WwK2aSXjSiXOTP7wiNbdjVKyThVXylSrYgRbMImP_s/J6Q6ndF4vsCQVNOaevrNfvf-4SWXn_fkVAe92AY92Ts),Weapon,Light,,17,20,,,,,,,,,A sword often wielded by Guardian Scouts. Its blue energy blade is a product of ancient technology. It's not very durable.,,,,,,,,,
Guardian Sword+,BotW_Guardian_Sword%EF%BC%8B_Icon.png?version=0d0e5f87e1b3c554260f2e9ece9717e7 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/YuzHHvjySorP_hj33_8OvQ/dOBiZtHgPupso57NpY4AtwnScyVCs68_-Ldugb2D7qY-PMGmGkjKNGBo1IlIQjaj8Xd6H1BDkgOqHqibcYCWO7lMmU-dnF3KcNIN9V6QI_kfH9JsDurSt-PKFbu2ArgWulVPqJIWlCKbV359-8m3Eg/dbjtNSaSiP3NF0CF8r7rzlyKX-TS3AdJ38AQQDEEhww),Weapon,Light,,26,30,,,,,,,,,"This Guardian sword has enhanced power over the standard model. Its cutting capabilities are improved, and its durability has seen a slight uptick.",,,,,,,,,
Guardian Sword++,BotW_Guardian_Sword%EF%BC%8B%EF%BC%8B_Icon.png?version=18bf6036bfcb5c8ae526812038c5baeb (https://v5.airtableusercontent.com/v1/18/18/1686708000000/78CoMUyiRz_p6MbHa0AWwg/cXjoEKNtrEVVojibxdDws6WDvArSUZdIj_GDG9N80wCf65p6AReAy9owFduyzI1hshICwNtRpX9aRhD053Wun1ZHnjrwpri_d0c2gdbz4PufkrCLyWD7OGLN58Yi2GDlfBop6tLc-c5DFaixTxgncA/ZqjU3wVcwkbKnPgvylzF9F-eXcdOBmtJ24M2vn6SZLE),Weapon,Light,,32,40,,,,,,,,,"The abilities of this Guardian sword have been boosted to the maximum, as evidenced by its increase in size. It slices through armor like a hot knife through butter!",,,,,,,,,
Ice Rod,BotW_Ice_Rod_Icon.png?version=2ba541812492b6d4d07a443e100810fe (https://v5.airtableusercontent.com/v1/18/18/1686708000000/j53OilKgLPwdVsWjaEqnBQ/041hMribA53wdlLPyvaEogjD8ShtW--j17GBoxzEm6x6LcweBmk2k_RiZV2LnsCrgJUU_fMHZ6DvafU3oEjPLdtxOqRANjixg1JsJkLwA0r6mmTIwXzSVh5hn0pDhI-d/kTOWU0gN10EiZTi25wHlG7fKBX7dExV4BHJ5UCf4reo),Weapon,Light,,14,5,,,,,,,,,A magical rod crafted from refined ice found in the Hebra Mountains. This rod can cast waves of freezing air. Great for magic—not so great for melee.,,,,,,,,,
Knight's Broadsword,BotW_Knight%27s_Broadsword_Icon.png?version=e7a73ff8cd5dc5cda8b553d488a43016 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/nRC51Lu58ZLI-_kE7fB9TQ/VADEYkqe05_Rm9v-I9rz0T5y4_JJhnZBgYGt6hkaraCeqlCne8CWa1mqfgP0G2FrtXwvqhblOgfN2FRTsHis_BpB0U95hpIIX0kZU4a30ahaET64pWy9g08oFQIdBmGwqUKfljRrjCcpkPuU4SmjaQ/FnRkAy4z0MtQq0cy_2nridqODMdRPd7yTyZIQWF7c3w),Weapon,Light,,27,26,,,,,,,,,Knights of Hyrule once carried this sword. These days it's the weapon of choice for seasoned adventurers thanks to its ease of use and high attack power.,,,,,,,,,
Lightning Rod,BotW_Lightning_Rod_Icon.png?version=21d53a4260fb655d60a776e76f0da857 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/2A9jsYcUzCtJjbTx0KM4BA/ISB32_SCvs39uoPsKG0cQhbCtba5Bwcc9cW3aRtu9lVEbMhNa-5l8q2G5M2BQ2dXsHDI_XvSOqSvZqbYDUPgkjp39urU9pZfw95_C_arbDLGBaENVIzhHnSMNDJj8KMc/MNZ44ZTlG3zEyE4IttTKFGlcZOKgQqenbBPjk_HqgY0),Weapon,Light,,14,5,,,,,,,,,A magical rod that can shoot balls of electricity. Its gem contains lightning from the Hyrule Hills. It's not recommended to use as a melee weapon.,,,,,,,,,
Lizal Boomerang,BotW_Lizal_Boomerang_Icon.png?version=18e7873a64df0ee2418d119a17d24b69 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/PfIyMnWB7YKVLcY5tqmyLQ/WSUiawhL82F2xDXxOFQ5_k8ebqbW07_2n5OdhyZrCJw0VwfyEarYmH2EDhteHcJpKtHrxFIjx2auk14f4BGtRKBlgUQeEhsJPRw1vJdG4TVV-idJX371Ox8HDwhMfbKz/eo2VAY_6GPUjEXHnGPu_L51a4PGAhp9Q3UIJlALXLRE),Weapon,Light,,17,14,,,,,,,,,A curved sword favored by the Lizalfos. It can be used to attack directly or can be thrown like a boomerang.,,,,,,,,,
Lizal Forked Boomerang,BotW_Lizal_Forked_Boomerang_Icon.png?version=2359b1f2148a0132c47825bf6a895026 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/4KG13SH_Ch5oqCXIhwb37A/jcZI3UnINy9oyWPldMAMjvtSXaJ7AmIIM0YN3MYgYP7-mz4OR_h3amOtam_uDV4AQ008V8km1DLwW16mwBvpOU7oG3Tqm_UyKnSbJFd_OLLeLRJ-rTyWYJ2shjK25wv7-a1-ZIm-YtXamTX6fGh0QQ/HApKF4Kt1ED1OCW69MCSea-xdsNmxDZgE5MngPCa14E),Weapon,Light,,25,24,,,,,,,,,"Blue Lizalfos in particular like this weapon. It has one more blade than the Lizal boomerang to give it additional cutting power, and it still returns when thrown.",,,,,,,,,
Lizal Tri-Boomerang,Lizal-tri-boomerang.png (https://v5.airtableusercontent.com/v1/18/18/1686708000000/pc5YSUgzouHEI5RWSQKtaA/avP39vJh2rfYroFvuRoM83or64cr5mbpeyuXBXvDqPn93XuznlnbBGXQoc2M2BJA/xS8NX0E0W_PLtWVOA67kwUfT-3nHLAQdUWITVnLsYpk),Weapon,Light,,27,36,,,,,,,,,"More blades means more attack power! It can be used as a boomerang, but all those blades makes that a bit more dangerous. Carried by Black Lizalfos seasoned in battle.",,,,,,,,,
Lizalfos Arm,BotW_Lizalfos_Arm_Icon.png?version=7d8e6d06bfece170e2a76e2252a00684 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/W92xr6_bIeSnjwao-P856A/GmrF8edAqgQzZOYe2Ps3N3_6bGSDu0W-x7UIuPBDstM4_Qs1ABrm8ZQJUl9-mi3m9ybF78Bbl4LzMmWMI-yHWktDpUH5woozxdLc27J7IFBmk_yB7sTvW1IqAsBM5iQJ/94ht0RnzT5RJzOH9uMxx78TmSxd-d4q7wHf7wI7Ysow),Weapon,Light,,8,12,,,,,,,,,"The arm of a Stalizalfos that continues to struggle even in death. It can be used as a weapon, but it's very brittle. You can feel it wiggling when you strap it to your back...",,,,,,,,,
Lynel Sword,BotW_Lynel_Sword_Icon.png?version=a37d5929ce0925d70e5a4b74beea7c43 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/r5j1Kpig-O_R7CoTlDk1Cg/5LJmwkaOv6GAIKTEd-p7O-A9Bn_tBq0PvTHvocjRuuw-vn69JxYH519tB-kYcUuzMLAe3YOFZX8K4PYZWkNOHUX6YZI3MJlC96uKyxMzJQyaAuCTxbURFDloJ3-cKy5X/1zV_qpolO-e9WcAJKn-Y0vjiv564kjxRf_KmYm6oDvY),Weapon,Light,,26,24,,,,,,,,,"This Lynel-made sword was designed with smashing in mind rather than slicing. It's on the heavy side compared to what Hylians are used to, but it's very strong.",,,,,,,,,
Master Sword,BotW_Master_Sword_Icon.png?version=5421ab286eed8d3a100b6e034073e797 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/L-_qjOhsXFsqpzYcRGDEAA/VVzB0s91GtRQgXMwdmIeagCYJUkk-Ca8F3zh4hA0-E3waFlGutB4N1b2rWP6ODQ6hsHwCyN0--sabZplxDNyoTSCNqAQvvZkF790apToYR7yhOnCzl32nTqUp5LIAOOR/ZY_7va1tpJ8ymul9iRRq8r0DmzMPmsDel1MBmNTnBtM),Weapon,Light,,200,30,,,,,,,,,The Legendary sword that seals the darkness. Its blade gleams with a sacred luster that can oppose the Calamity. Only a hero chosen by the sword itself may wield it.,,,,,,,,,"The Master Sword does not break, but it does run out of energy. It takes 10 minutes to recharge. The Master Sword has an attack power of 30 which jumps to 60 when Link is fighting Calamity enemies. The weapon throw is replaced by a beam attack usable only when Link has full hearts. "
Meteor Rod,BotW_Meteor_Rod_Icon.png?version=d1dbaa6cd88f822c3ecb8bd4cdc34349 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/Jg-xHYpqXsPUppNokH6tdg/G3OvZJkKqVfJSdj4TuK8g_Fs8kuJ4ls9wMuarXbbehQ-jogZfksbnMCw8HTf4yhFibsyocacch9dnWo5-EpkCfeREb6bvIvAmCP4T3fAWXsK1Hh4eGs540dzurUIW0kI/Aw1WLbgK3GcbM5efJXovzWAtG-aFb4y6VSZU6hPaDWQ),Weapon,Light,,32,10,,,,,,,,,"A magical rod that can cast three fireballs at once, crafted by an ancient magician. It will break upon running out of magical energy, so make it last!",,,,,,,,,
Mighty Lynel Sword,BotW_Mighty_Lynel_Sword_Icon.png?version=b0378d714d39fdecf08c50825ecb58b0 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/njCGvrm2EPwyC6bHzIHlsA/FCzYRXUxcDGVN22tFft42rDHYYT0cf0SGX8mFHE7btDo5iY_Z8vGIRdNkYkaYLFIMNVx4BAKeLoSO5VUx-IsrSxf8RPputxzqA68vUccI3i0LcMh4voC4_qVnubUL_iH/oS_kRvBk-xhMz3c7JwsURDJC2_4fwu9ULp7FcBu_r4Q),Weapon,Light,,32,36,,,,,,,,,This Lynel-made sword boasts more blades and more attack power. A skilled Lynel can draw this sword simply in passing and still cut a foe in two.,,,,,,,,,
Moonlight Scimitar,BotW_Moonlight_Scimitar_Icon.png?version=63c649b1d76285a40be4d4070ea4d62a (https://v5.airtableusercontent.com/v1/18/18/1686708000000/IVfLll7aoWWaGt-qLk3H0g/h2aIAC5EFUp42hzpJi-h8yD6Oku8SNoDILhnLGMpmLW1RU5WeiBdnFkvsTwNZNl4FCz_Y6cbMi6FAfPG1_FoQBsX9AabXcbhA8NuAmvFBycGzLFFeg6_FUNZaMrXCj2u/_C1GEAnDu9pCw5A2kl_PH9xyswZtcdFaf9_pYzW6ZQ0),Weapon,Light,,32,25,,,,,,,,,Delicate Gerudo carvings decorate this curved sword. The engraved blade is extremely sharp. Apparently it once served ceremonial purposes in festivals.,,,,,,,,,
Royal Broadsword,BotW_Royal_Broadsword_Icon.png?version=0715fc960f104f5d08ae09607f944d2b (https://v5.airtableusercontent.com/v1/18/18/1686708000000/fY7j_R9X5aaI6HUTcHXYgg/HsRtiAkLyk7lPIAyKfCRPmqIk3nP3PzaLJmLQPcJq-Py0jBWO1T20zW4OTop87uffNqqYkNFp8oh5AofjbI8WYoE1lg6rAut86iHRChE_2lyo1OmclfqwqrzWjQVqUJX/ef8b-8jnKjJ_YB0mB5-cBXiwYAdTsS1N3OwCAsxreuA),Weapon,Light,,36,36,,,,,,,,,The Hyrulean royal family would award this sword to knights who achieved remarkable feats. A sword that balances strength and beauty as elegantly as this one is a rare find.,,,,,,,,,
Royal Guard's Sword,BotW_Royal_Guard%27s_Sword_Icon.png?version=39d1b98b6c6a54ab7f02914b0c6e6751 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/F1J4V5J6nhmLAXY1gHm1jA/ztpGzYwVWnHhUWVv909dpS6ZhgOaVC6LqB7euG2E1oGSISzNCU7Kn2-cC8vTJPjMkSZj_BO6awFqjT34q78FIv140at_eSZUtgxZ2UGNSKPB7_gJFI86OU0jaHzmMP5eLUnKvIAkTRVoaoeL12WzxA/65ZtJaeYnl60Q2NEAgXnv7rdF1GJ7sm44SkxkZCkwRw),Weapon,Light,,14,48,,,,,,,,,"A Sheikah-made replica of the sword that seals the darkness. It was made with ancient technology to oppose the Great Calamity, but its low durability made it inefficient.",,,,,,,,,
Rusty Broadsword,BotW_Rusty_Broadsword_Icon.png?version=aeb9e3078a5de48e0e5dc1e882641629 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/61tYbEiA-MeokPYSa6bTFA/yJDSog6qb1IR4BB34hxwdoUDqps1yzkEEnrusnOv7nOFQf4D8zkWVZGBpbVUI43UaXi2S_ySKxN84sn7Chij9MaLoxEgE8pFLZ_xkIiuW-abWNR1KoODmb-3kRago0Ml/UVLW5ncEhh-ZeWNUueJr7hdfR8QObG8caW01ySbIDF0),Weapon,Light,,8,6,,,,,,,,,A rusty sword used ages ago by a skilled swordsman. It can do some damage in the right hands but also breaks quickly.,,,,,,,,,
Savage Lynel Sword,BotW_Savage_Lynel_Sword_Icon.png?version=0f6f11b6ce50b0dce88a30ae8fbbebf7 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/UT54hRK2rucNkkv-nKLCzg/yZWOpucC6i8kUIjNuyQ7wbgupKPMOlwEKaN4-4kmkIbcqQ03saNpdeBiT6kThyx5rSS5skn0McctJrk_nIsamPtB8S6iX4MrTRzN4Nc60Xl-H2MBLO18wZQNrEjfRffd/cHnSPsx6vt74QXMYYmq1tbeCft_TXaLwa53w_aPIb94),Weapon,Light,,41,58,,,,,,,,,"A brutal sword carried by white-haired Lynels. The savage blades are strong enough to cut down any foe, no matter how strong.",,,,,,,,,
Scimitar of the Seven,BotW_Scimitar_of_the_Seven_Icon.png?version=39c7215ff09867acd709e124eba121d7 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/jmSmTpQBOIrAkD3rTjlPEA/GHna30UUBN8hhcTzqwqLih0M_Gd7PlHUF-eXPjGRkJ_Q7uOgoSSt6qlzujpWBKfhWUQtkuvgzT3YaD9ltMukb96vaqyf79yG4Thaai_41wu2HwgFP43MpO4yyJPI8cDHXfdSCJP7K9e96ncL2629gw/CzPiZeetGKVjzygExDwJ6nUCFv9xl5HVjBkABdDtuBs),Weapon,Light,,60,32,,,,,,,,,"A famous sword once beloved by the Gerudo Champion Urbosa. It is said that when Urbosa swung this sword in battle, her movements resembled a beautiful dance.",,,,,,,,,
Sea-Breeze Boomerang,BotW_Sea-Breeze_Boomerang_Icon.png?version=f7beb9543d7cda9b7f395ab0fda8a741 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/LB5y9IDM07vjalgLMRydPw/9C7Ch3kaELJEEQSQoXWrGb-5sOg_p9l5SjHNu6d7u7h_pDJIlj4mg3rfCSCjy_lFYhYHzhCsAJCZI6iTVUpCdN2lHO8U8eAm9mF-K14qip0J-g7RU6Fgu_D_F3ziiTeCy7mauJN0O-Ek31uK8PrXnA/PY4jrYVXMguHrmt3vB3ismCCM1PzNYiWSM4NZ3QVVhM),Weapon,Light,,20,20,,,,,,,,,A boomerang said to have been used by a hero who traveled the Great Sea. It smells faintly of salt water.,,,,,,,,,
Soldier's Broadsword,BotW_Soldier%27s_Broadsword_Icon.png?version=5a35cd4fbc618ce69ceb7b7fa077db14 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/HJ_BH66bImrqF7J2HsgxYw/5QMW_WiV7hGXmoi9tKI5xtzgU43XJN4pAWAbIr7foY9FnCTdYNoQu2aAI4KfHIixPrYbNofAFYbLzkJvBfgVHj73lRocyPTXBgS3ZFsh50WEqlw1Y_oq5UpIVw5LpXXuzT3oNsZ3oWYEBMBoRqcRYA/I_2iQeMOw9JkxeVpakrB_1fpyk3AV50mQLNHVO55tvw),Weapon,Light,,25,14,,,,,,,,,A sword brandished by the soldiers who once protected Hyrule Castle. Its durable blade is well tuned for slaying monsters.,,,,,,,,,
Soup Ladle,BotW_Soup_Ladle_Icon.png?version=e8a25aca42519b8484875f883ae956b2 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/vx14aRs0YfJPeo4fdsFxkw/4-NLdJ6cZw5OcZ7laU_LYB4nsdZRm-bb99RSo0heqbAaZczEZhhPRPtN1dcTfxQzO5LijbzkRZGXzi0697tnQXUKHuhxW1LnBciCYarEVOkkL-NM5dwpDo9PBq-gISjW/j_n2Ehl3ZvERrvw58DjGwxrdPUu31uu6lS2tltml-1w),Weapon,Light,,5,4,,,,,,,,,"A kitchen implement often used for serving delicious soups. It was carved from the wood of a sturdy tree, so it actually packs quite the wallop.",,,,,,,,,
